Nr de la promoción,Año de comienzo,Año de fin,Tipo,Modalidad,Nombre,Nombre de la mujer referente,pais_principal,campo_principal,periodo_historico,anio_nacimiento,anio_muerte,logros_clave
1,2016,2017,PW,Full-time,Ada,Ada Lovelace,,,,,,
2,2017,2017,PW,Full-time,Borg,Anita Borg,Estados Unidos,informática y activismo tecnológico,era de la informática moderna,,,"Desarrolló el primer compilador, luchó por la inclusión de las mujeres en la industria tecnológica."
3,2017,2018,PW,Full-time,Clarke,Joan Clarke,,,,,,
4,2018,2018,PW,Full-time,Dorcas,Dorcas Muthoni,Kenia,biología,era moderna,1978,,Investigadora en genética y bioingenieria. Desarrolló tecnologias para la producción de alimentos y agua.
5,2018,2019,PW,Full-time,Easley,Annie Easley,Estados Unidos,ingeniería aeroespacial y matemáticas,siglo XX,1934,,Contribuyó al desarrollo de cohetes y misiones espaciales. Pionera en el uso de computadoras para simulaciones aerodinámicas.
6,2019,2019,PW,Full-time,Fairfax,Mary Fairfax,,,,,,
7,2019,2019,PW,Full-time,Grace,Grace Hopper,,,,,,
8,2019,2020,PW,Full-time,Hamilton,Margaret Hamilton,,,,,,
9,2020,2020,PW,Full-time,Idelisa,Idelisa Bonnelly,Estados Unidos,informática,siglo XXI,,,Pionera en tecnología de código abierto. Desarrolló software para mejorar la transparencia gubernamental.
10,2020,2020,PW,Full-time,Jemison,Mae Jemison,Estados Unidos,biología y astronautica,era espacial,1956,,Fue la primera mujer en viajar al espacio. Fue misionada en el Space Shuttle Endeavour
11,2020,2020,PW,Full-time,Kizzy,Kizzy Colbert,,,,,,
12,2020,2021,PW,Full-time,Lee,Lee Woods,Estados Unidos,informática,siglo XX,,,Pionera en programación. Desarrolló el primer compilador.
13,2021,2021,PW,Full-time,Mileva,Mileva Maric,Serbia,física y matemáticas,siglo XIX y XX,1875,,Desarrolló teorías sobre la relatividad. Matrimoniada con Albert Einstein.
14,2021,2021,PW,Full-time,Nerea,Nerea Luis,,,,,,
15,2021,2022,PW,Full-time,Olguin,Irma Olguin,Estados Unidos,matemáticas,siglo XXI,,,Desarrolló teorías y modelos matemáticos para la física de partículas. Investigadora destacada en el campo de la física teórica.
16,2022,2022,PW,Full-time,Paz,Paz Gimeno,Estados Unidos,activismo tecnológico,era espacial,,1986,Activista y defensora de la igualdad de género en la industria espacial. Fue una voz clave para promover la diversidad e inclusión.
